Plane Number;Image Path;Translation;Rotation;K Matrix
2;rightCameraPostProcessed/right/Camera_110732692_Image000479;2.64234 -1.28830807795 -0.463793626772;0.0900441346233 0.638388871031 -0.696734579409 -0.31451967986;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;leftCameraPostProcessed/left/Camera_110732781_Image001730;2.17874 -1.69716755276 -0.413341538176;0.0512662815554 -0.646149822232 -0.710681086848 0.27350423836;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image000490;2.10763 0.748076604522 -0.453122109597;0.64814956777 0.00160733597237 -0.198549177389 -0.735178739103;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image000491;2.09833 0.958646880596 -0.445711288622;0.661882515599 -0.0929576345606 -0.120102778164 -0.734067937182;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;leftCameraPostProcessed/left/Camera_110732781_Image000047;0.639043 2.74517832035 -0.414890591406;0.583249207183 -0.237262692241 -0.439002559478 0.640947369105;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001727;2.63133 -1.65179245374 -0.482434964387;0.0226919794164 -0.686933512758 0.700619890713 0.191700787313;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;leftCameraPostProcessed/left/Camera_110732781_Image000045;0.598408 2.43441055768 -0.41523157803;0.643223311173 -0.136091013831 -0.347524118356 0.66856562511;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;leftCameraPostProcessed/left/Camera_110732781_Image000046;0.6264 2.64759157563 -0.417057184392;0.607079626489 -0.193266583046 -0.399362654194 0.659258542163;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001745;0.2612928 -1.30247643807 -0.451212699382;0.0903421554549 0.6420909851 -0.696477962473 -0.307385604071;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001747;0.17525 -1.05181715796 -0.451798350734;0.167884118348 0.594327291929 -0.681705615729 -0.392272158531;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001746;0.2212488 -1.20355009956 -0.449756603553;0.122072368477 0.621437082162 -0.689118498838 -0.352193106588;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001744;0.32500421 -1.41533054895 -0.453559597922;0.0537579004082 0.657814494331 -0.698949032542 -0.275445873267;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001743;0.3878072 -1.5491071253 -0.45192388784;0.0342657268298 0.675555736974 -0.693675535153 -0.247536983371;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001741;0.560922 -1.54132464412 -0.456388478833;0.00687827329915 0.671940528523 -0.699272021037 -0.243879593406;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001740;0.665408 -1.57292614371 -0.442864651409;0.00568226502788 0.67622949706 -0.696733797254 -0.239276816542;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;leftCameraPostProcessed/left/Camera_110732781_Image000044;0.559692 2.23156606342 -0.410934339485;0.672863672359 -0.079276417195 -0.299476867128 0.671783695956;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;leftCameraPostProcessed/left/Camera_110732781_Image000048;0.645524 2.875709805 -0.421204965475;0.55824411057 -0.268698287329 -0.464932460976 0.632465453706;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;leftCameraPostProcessed/left/Camera_110732781_Image000049;0.644771 3.07816092965 -0.429414460185;0.525608883237 -0.295153378525 -0.483461706985 0.63473975997;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001733;1.69339 -1.58006826426 -0.469200711846;0.0102192355045 -0.679229693806 0.704441032882 0.205707125471;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001730;2.17874 -1.65616755276 -0.463341538176;0.0360439680186 -0.685348010352 0.700724620333 0.194920351773;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001737;1.06709 -1.50787920284 -0.463543567355;0.00177902910428 0.671533173049 -0.709134508809 -0.214891323619;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001756;-0.055083 -0.0556513696741 -0.450136262775;0.481139250318 0.312422355319 -0.498073894148 -0.650253557983;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001751;0.010117 -0.388436764489 -0.440710057223;0.385880644221 0.412978637809 -0.575253447529 -0.591302159843;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001752;-0.024204 -0.239247212803 -0.44249659286;0.423080233651 0.369965039708 -0.551045132571 -0.616837293909;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001753;-0.055259 -0.168777463929 -0.437094483513;0.442815448335 0.342011597984 -0.532030926489 -0.635527842679;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001754;-0.069046 -0.164712463042 -0.430655020039;0.446523076588 0.325910420355 -0.519698273062 -0.651400986301;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001755;-0.068754 -0.132906147131 -0.43923686592;0.457478440855 0.314250031338 -0.508434519273 -0.658380386683;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001757;-0.03311 -0.0229205163588 -0.446720212956;0.492720840362 0.308912755129 -0.489030929261 -0.650121398985;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001750;0.051472 -0.555293499921 -0.44379027257;0.337205028109 0.462431674843 -0.605769080317 -0.552723743339;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
